,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
347,heriot watt university,heriot watt universityersity,6285,"{'primary organization': [{'text': 'heriot watt university', 'start': 0, 'end': 22, 'probability': 0.999055791219746}], 'secondary organization': [{'text': 'heriot watt university', 'start': 0, 'end': 22, 'probability': 0.9811075292891758}], 'tertiary organization': [{'text': 'heriot watt university', 'start': 0, 'end': 22, 'probability': 0.9990624681936424}]}",heriot watt university
348,"Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA","Georgia Inst Technol, Sch Chem & Biochem, Atlanta, GA 30332 USA",6278,"{'primary organization': [{'text': 'georgia inst technol, sch chem & biochem', 'start': 0, 'end': 40, 'probability': 0.999080737558586}], 'secondary organization': [{'text': 'georgia inst technol, sch chem & biochem', 'start': 0, 'end': 40, 'probability': 0.9955138118393734}], 'tertiary organization': [{'text': 'georgia inst technol, sch chem & biochem', 'start': 0, 'end': 40, 'probability': 0.9962405793874431}], 'city': [{'text': 'atlanta', 'start': 42, 'end': 49, 'probability': 0.9999816418267748}], 'postal code': [{'text': '30332', 'start': 54, 'end': 59, 'probability': 0.9998754299300572}], 'country': [{'text': 'usa', 'start': 60, 'end': 63, 'probability': 0.9998890179174715}]}","georgia inst technol, sch chem & biochem"
349,Wien,Wien,6272,"{'primary organization': [{'text': 'wien', 'start': 0, 'end': 4, 'probability': 0.998054813992411}], 'secondary organization': [{'text': 'wien', 'start': 0, 'end': 4, 'probability': 0.6218029531542513}], 'tertiary organization': [{'text': 'wien', 'start': 0, 'end': 4, 'probability': 0.8769590813282591}], 'city': [{'text': 'wien', 'start': 0, 'end': 4, 'probability': 0.9852596950780779}]}",wien
350,"Huazhong Normal University(Central China Normal University,Huazhong Normal University),Wuhan,China","Huazhong Normal University(Central China Normal University,Huazhong Normal University),Wuhan,China",6256,"{'primary organization': [{'text': 'huazhong normal university', 'start': 0, 'end': 26, 'probability': 0.9873609482823973}, {'text': 'central china normal university', 'start': 27, 'end': 58, 'probability': 0.6024786452772162}, {'text': 'huazhong normal university', 'start': 59, 'end': 85, 'probability': 0.794225246939277}], 'secondary organization': [{'text': 'huazhong normal university', 'start': 0, 'end': 26, 'probability': 0.9930837388154856}, {'text': 'central china normal university', 'start': 27, 'end': 58, 'probability': 0.39581137543677514}, {'text': 'huazhong normal university', 'start': 59, 'end': 85, 'probability': 0.5551996418542018}], 'tertiary organization': [{'text': 'huazhong normal university', 'start': 0, 'end': 26, 'probability': 0.9967042060423026}, {'text': 'central china normal university', 'start': 27, 'end': 58, 'probability': 0.7517492564983286}, {'text': 'huazhong normal university', 'start': 59, 'end': 85, 'probability': 0.8566413793582974}], 'city': [{'text': 'wuhan', 'start': 87, 'end': 92, 'probability': 0.9994950643413603}], 'country': [{'text': 'china', 'start': 35, 'end': 40, 'probability': 0.9991207902341088}, {'text': 'china', 'start': 93, 'end': 98, 'probability': 0.9999457601868755}]}",huazhong normal university
351,"Vrije Univ Amsterdam Med Ctr, Amsterdam, Netherlands","Vrije Univ Amsterdam Med Ctr, Amsterdam, Netherlands",6255,"{'primary organization': [{'text': 'vrije univ', 'start': 0, 'end': 10, 'probability': 0.5501976954937291}, {'text': 'ctr', 'start': 25, 'end': 28, 'probability': 0.9877978159782828}], 'secondary organization': [{'text': 'ctr', 'start': 25, 'end': 28, 'probability': 0.8771325753294192}], 'tertiary organization': [{'text': 'ctr', 'start': 25, 'end': 28, 'probability': 0.9800122040177968}], 'city': [{'text': 'amsterdam', 'start': 11, 'end': 20, 'probability': 0.6150987048058596}, {'text': 'amsterdam', 'start': 30, 'end': 39, 'probability': 0.9987152162994946}], 'postal code': [{'text': 'ctr', 'start': 25, 'end': 28, 'probability': 0.8845205786261658}], 'country': [{'text': 'netherlands', 'start': 41, 'end': 52, 'probability': 0.9999629856594012}]}",ctr
352,"Univ Fed Rio de Janeiro, Rio De Janeiro, Brazil","Univ Fed Rio de Janeiro, Rio De Janeiro, Brazil",6225,"{'primary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.9964281999631908}], 'secondary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.988710016632588}], 'tertiary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.9950714762795947}], 'city': [{'text': 'rio de janeiro', 'start': 25, 'end': 39, 'probability': 0.999876203957939}, {'text': 'rio de janeiro', 'start': 9, 'end': 23, 'probability': 0.9993600263272135}], 'country': [{'text': 'brazil', 'start': 41, 'end': 47, 'probability': 0.9999771715110413}]}",univ fed
353,"Institut für Physik, Universität Mainz, Mainz, Germany.","Institut für Physik, Universität Mainz, Mainz, Germany.",6216,"{'primary organization': [{'text': 'institut für physik', 'start': 0, 'end': 19, 'probability': 0.8157913897931621}, {'text': 'universität mainz', 'start': 21, 'end': 38, 'probability': 0.8998706852073823}], 'secondary organization': [{'text': 'institut für physik, universität mainz', 'start': 0, 'end': 38, 'probability': 0.9405750265974291}], 'tertiary organization': [{'text': 'institut für physik', 'start': 0, 'end': 19, 'probability': 0.8561376573220016}, {'text': 'universität mainz', 'start': 21, 'end': 38, 'probability': 0.920379172615263}], 'city': [{'text': 'mainz', 'start': 40, 'end': 45, 'probability': 0.9983395205834711}, {'text': 'mainz', 'start': 33, 'end': 38, 'probability': 0.8801052273134111}], 'country': [{'text': 'germany', 'start': 47, 'end': 54, 'probability': 0.9999818802681908}]}",universität mainz
354,"Yunnan University(Yunnan University),Kunming,China","Yunnan University(Yunnan University),Kunming,China",6208,"{'primary organization': [{'text': 'yunnan university', 'start': 0, 'end': 17, 'probability': 0.9837075053964526}, {'text': 'yunnan university', 'start': 18, 'end': 35, 'probability': 0.9688316778019654}], 'secondary organization': [{'text': 'yunnan university', 'start': 0, 'end': 17, 'probability': 0.9279345326093278}, {'text': 'yunnan university', 'start': 18, 'end': 35, 'probability': 0.9296160589321723}], 'tertiary organization': [{'text': 'yunnan university', 'start': 0, 'end': 17, 'probability': 0.9778270989483495}, {'text': 'yunnan university', 'start': 18, 'end': 35, 'probability': 0.98475493710961}], 'city': [{'text': 'kunming', 'start': 37, 'end': 44, 'probability': 0.9986676111391226}], 'country': [{'text': 'china', 'start': 45, 'end': 50, 'probability': 0.9999528530255759}]}",yunnan university
355,"Univ Cent Florida, Orlando, FL 32816 USA","Univ Cent Florida, Orlando, FL 32816 USA",6201,"{'primary organization': [{'text': 'univ cent florida', 'start': 0, 'end': 17, 'probability': 0.702319313678732}], 'secondary organization': [{'text': 'univ cent florida', 'start': 0, 'end': 17, 'probability': 0.7304999872289955}], 'tertiary organization': [{'text': 'univ cent florida', 'start': 0, 'end': 17, 'probability': 0.5829895695860827}], 'city': [{'text': 'orlando', 'start': 19, 'end': 26, 'probability': 0.9999856353319956}], 'postal code': [{'text': '32816', 'start': 31, 'end': 36, 'probability': 0.9513414082377949}], 'country': [{'text': 'usa', 'start': 37, 'end': 40, 'probability': 0.999382815681102}]}",univ cent florida
356,"Yangzhou University(Yangzhou University),Yangzhou,China","Yangzhou University(Yangzhou University),Yangzhou,China",6198,"{'primary organization': [{'text': 'yangzhou university', 'start': 0, 'end': 19, 'probability': 0.9762557497328359}, {'text': 'yangzhou university', 'start': 20, 'end': 39, 'probability': 0.9692682568430051}], 'secondary organization': [{'text': 'yangzhou university', 'start': 0, 'end': 19, 'probability': 0.8072848357521707}, {'text': 'yangzhou university', 'start': 20, 'end': 39, 'probability': 0.9621247983758963}], 'tertiary organization': [{'text': 'yangzhou university', 'start': 0, 'end': 19, 'probability': 0.9761823514646721}, {'text': 'yangzhou university', 'start': 20, 'end': 39, 'probability': 0.9863788948639574}], 'city': [{'text': 'yangzhou', 'start': 41, 'end': 49, 'probability': 0.9859923725223751}, {'text': 'yangzhou', 'start': 20, 'end': 28, 'probability': 0.6723206341067112}], 'country': [{'text': 'china', 'start': 50, 'end': 55, 'probability': 0.9999815226285591}]}",yangzhou university
357,"Fred Hutchinson Canc Res Ctr, Seattle, WA 98104 USA","Fred Hutchinson Canc Res Ctr, Seattle, WA 98104 USA",6198,"{'primary organization': [{'text': 'canc res ctr', 'start': 16, 'end': 28, 'probability': 0.9706570282159852}], 'secondary organization': [{'text': 'canc res ctr', 'start': 16, 'end': 28, 'probability': 0.7389439073213779}], 'tertiary organization': [{'text': 'canc res ctr', 'start': 16, 'end': 28, 'probability': 0.9068297646739829}], 'city': [{'text': 'seattle', 'start': 30, 'end': 37, 'probability': 0.9999827743314498}], 'postal code': [{'text': '98104', 'start': 42, 'end': 47, 'probability': 0.9969771692270406}], 'country': [{'text': 'usa', 'start': 48, 'end': 51, 'probability': 0.9999455217853814}]}",canc res ctr
358,"New York Med Coll, Valhalla, NY 10595 USA","New York Med Coll, Valhalla, NY 10595 USA",6135,"{'primary organization': [{'text': 'new york med coll', 'start': 0, 'end': 17, 'probability': 0.3937096775133}], 'secondary organization': [{'text': 'new york med coll', 'start': 0, 'end': 17, 'probability': 0.4930465868774121}], 'tertiary organization': [{'text': 'new york med coll', 'start': 0, 'end': 17, 'probability': 0.36902395130951504}], 'city': [{'text': 'valhalla', 'start': 19, 'end': 27, 'probability': 0.9998583843677551}], 'postal code': [{'text': '10595', 'start': 32, 'end': 37, 'probability': 0.9973965450616866}], 'country': [{'text': 'usa', 'start': 38, 'end': 41, 'probability': 0.9998554020967454}]}",new york med coll
359,"Hosp Sick Children, Toronto, ON, Canada","Hosp Sick Children, Toronto, ON, Canada",6126,"{'primary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.9989664753936722}], 'secondary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.9740213148147632}], 'tertiary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.9722700162183315}], 'city': [{'text': 'toronto', 'start': 20, 'end': 27, 'probability': 0.9999867678104124}], 'country': [{'text': 'canada', 'start': 33, 'end': 39, 'probability': 0.9999873638503622}]}",hosp sick children
360,"BELL TEL LABS INC,MURRAY HILL,NJ 07974","BELL TEL LABS INC,MURRAY HILL,NJ 07974",6100,"{'primary organization': [{'text': 'bell tel labs inc', 'start': 0, 'end': 17, 'probability': 0.9981881888660951}], 'secondary organization': [{'text': 'bell tel labs inc', 'start': 0, 'end': 17, 'probability': 0.9484269245154913}], 'tertiary organization': [{'text': 'bell tel labs inc', 'start': 0, 'end': 17, 'probability': 0.9873578208887928}], 'city': [{'text': 'murray hill', 'start': 18, 'end': 29, 'probability': 0.9999085089070618}]}",bell tel labs inc
361,washington university in st louis,washington universityersity in st louis,6099,"{'primary organization': [{'text': 'washington university', 'start': 0, 'end': 21, 'probability': 0.9295229987888654}], 'secondary organization': [{'text': 'washington university', 'start': 0, 'end': 21, 'probability': 0.8822404080143542}], 'tertiary organization': [{'text': 'washington university', 'start': 0, 'end': 21, 'probability': 0.9906641885713725}], 'city': [{'text': 'st louis', 'start': 25, 'end': 33, 'probability': 0.9999189980381544}]}",washington university
362,"London Sch Hyg & Trop Med, London, England","London Sch Hyg & Trop Med, London, England",6099,"{'primary organization': [{'text': 'hyg & trop med', 'start': 11, 'end': 25, 'probability': 0.5347491126959198}], 'secondary organization': [{'text': 'london sch hyg & trop med', 'start': 0, 'end': 25, 'probability': 0.5578671662915298}], 'tertiary organization': [{'text': 'sch hyg & trop med', 'start': 7, 'end': 25, 'probability': 0.9247879970419781}], 'city': [{'text': 'london', 'start': 0, 'end': 6, 'probability': 0.9949366418177448}, {'text': 'london', 'start': 27, 'end': 33, 'probability': 0.9998905089792274}], 'country': [{'text': 'england', 'start': 35, 'end': 42, 'probability': 0.9999771118979055}]}",hyg & trop med
363,"Nanjing University of Post and TeleCommunications(Nanjing University of Posts and Telecommunications),Nanjing,China","Nanjing University of Post and TeleCommunications(Nanjing University of Posts and Telecommunications),Nanjing,China",6090,"{'primary organization': [{'text': 'nanjing university of posts and telecommunications', 'start': 50, 'end': 100, 'probability': 0.8294279968127967}, {'text': 'nanjing university of post and telecommunications', 'start': 0, 'end': 49, 'probability': 0.9497255021475297}], 'secondary organization': [{'text': 'nanjing university of posts and telecommunications', 'start': 50, 'end': 100, 'probability': 0.7415669440349291}, {'text': 'nanjing university of post and telecommunications', 'start': 0, 'end': 49, 'probability': 0.9039059295948242}], 'tertiary organization': [{'text': 'nanjing university of posts and telecommunications', 'start': 50, 'end': 100, 'probability': 0.8363528290338813}, {'text': 'nanjing university of post and telecommunications', 'start': 0, 'end': 49, 'probability': 0.9634311610906252}], 'city': [{'text': 'nanjing', 'start': 0, 'end': 7, 'probability': 0.9643262688715133}, {'text': 'nanjing', 'start': 50, 'end': 57, 'probability': 0.9525889691563805}, {'text': 'nanjing', 'start': 102, 'end': 109, 'probability': 0.9995962782261074}], 'country': [{'text': 'china', 'start': 110, 'end': 115, 'probability': 0.9999773503416236}]}",nanjing university of post and telecommunications
364,"China Iron and Steel Research Institute Group(Central Iron and Steel Research Institute,Ctrl. Iron and Stl. Res. Institute),Beijing,China","China Iron and Steel Research Institute Group(Central Iron and Steel Research Institute,Ctrl. Iron and Stl. Res. Institute),Beijing,China",6063,"{'primary organization': [{'text': 'central iron and steel research institute', 'start': 46, 'end': 87, 'probability': 0.8610534120354316}, {'text': 'china iron and steel research institute', 'start': 0, 'end': 39, 'probability': 0.5492111869996279}], 'secondary organization': [{'text': 'central iron and steel research institute', 'start': 46, 'end': 87, 'probability': 0.6210541987488511}], 'tertiary organization': [{'text': 'central iron and steel research institute', 'start': 46, 'end': 87, 'probability': 0.8350335740487935}, {'text': 'china iron and steel research institute', 'start': 0, 'end': 39, 'probability': 0.5888828193718609}], 'city': [{'text': 'beijing', 'start': 124, 'end': 131, 'probability': 0.999977231132565}], 'country': [{'text': 'china', 'start': 0, 'end': 5, 'probability': 0.9999042768606614}, {'text': 'china', 'start': 132, 'end': 137, 'probability': 0.9999073751612322}]}",central iron and steel research institute
365,"Pontificia Univ Catolica Chile, Santiago, Chile","Pontificia Univ Catolica Chile, Santiago, Chile",6060,"{'primary organization': [{'text': 'pontificia univ catolica', 'start': 0, 'end': 24, 'probability': 0.9065765681151277}], 'tertiary organization': [{'text': 'pontificia univ catolica', 'start': 0, 'end': 24, 'probability': 0.7715087362498991}], 'city': [{'text': 'santiago', 'start': 32, 'end': 40, 'probability': 0.9998885408912805}], 'country': [{'text': 'chile', 'start': 25, 'end': 30, 'probability': 0.9997541431232762}, {'text': 'chile', 'start': 42, 'end': 47, 'probability': 0.9997820329158316}]}",pontificia univ catolica
366,"Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Rare Earth Resource Utilizat, Changchun 130022, Peoples R China","Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Rare Earth Resource Utilizat, Changchun 130022, Peoples R China",6034,"{'primary organization': [{'text': 'chinese acad sci', 'start': 0, 'end': 16, 'probability': 0.4039842191796197}, {'text': 'rare earth resource utilizat', 'start': 58, 'end': 86, 'probability': 0.4942384809696705}], 'secondary organization': [{'text': 'chinese acad sci', 'start': 0, 'end': 16, 'probability': 0.3540024930903165}], 'tertiary organization': [{'text': 'rare earth resource utilizat', 'start': 58, 'end': 86, 'probability': 0.272762687631527}], 'city': [{'text': 'changchun', 'start': 88, 'end': 97, 'probability': 0.9407830167933611}, {'text': 'changchun', 'start': 18, 'end': 27, 'probability': 0.922164334968766}], 'postal code': [{'text': '130022', 'start': 98, 'end': 104, 'probability': 0.6599891204868129}], 'country': [{'text': 'china', 'start': 116, 'end': 121, 'probability': 0.9999878406853213}]}",rare earth resource utilizat
367,Dresden University of Technology,Dresden University of Technology,6017,"{'primary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.9481624781635389}], 'secondary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.894237094558946}], 'tertiary organization': [{'text': 'dresden university of technology', 'start': 0, 'end': 32, 'probability': 0.909113066248068}], 'city': [{'text': 'dresden', 'start': 0, 'end': 7, 'probability': 0.9943334913050776}]}",dresden university of technology
368,"Northeast Normal University(Northeast Normal University),Changchun,China","Northeast Normal University(Northeast Normal University),Changchun,China",6009,"{'primary organization': [{'text': 'northeast normal university', 'start': 0, 'end': 27, 'probability': 0.99817912726256}, {'text': 'northeast normal university', 'start': 28, 'end': 55, 'probability': 0.95093525928133}], 'secondary organization': [{'text': 'northeast normal university', 'start': 0, 'end': 27, 'probability': 0.9975336835223487}, {'text': 'northeast normal university', 'start': 28, 'end': 55, 'probability': 0.9577832162523201}], 'tertiary organization': [{'text': 'northeast normal university', 'start': 0, 'end': 27, 'probability': 0.9985616250948048}, {'text': 'northeast normal university', 'start': 28, 'end': 55, 'probability': 0.984976548368067}], 'city': [{'text': 'changchun', 'start': 57, 'end': 66, 'probability': 0.9928022480905696}], 'country': [{'text': 'china', 'start': 67, 'end': 72, 'probability': 0.9999815226270563}]}",northeast normal university
369,"North University of China(North University of China),Taiyuan,China","North University of China(North University of China),Taiyuan,China",6004,"{'primary organization': [{'text': 'north university of china', 'start': 0, 'end': 25, 'probability': 0.9794359782606001}, {'text': 'north university of china', 'start': 26, 'end': 51, 'probability': 0.5081709557529805}], 'secondary organization': [{'text': 'north university of china', 'start': 0, 'end': 25, 'probability': 0.9873803799109737}, {'text': 'north university of china', 'start': 26, 'end': 51, 'probability': 0.5649400722563769}], 'tertiary organization': [{'text': 'north university of china', 'start': 0, 'end': 25, 'probability': 0.9949073749089408}, {'text': 'north university of china', 'start': 26, 'end': 51, 'probability': 0.8177741826367395}], 'city': [{'text': 'taiyuan', 'start': 53, 'end': 60, 'probability': 0.9997675506305086}], 'country': [{'text': 'china', 'start': 46, 'end': 51, 'probability': 0.9999241836689485}, {'text': 'china', 'start': 20, 'end': 25, 'probability': 0.9999261507595918}, {'text': 'china', 'start': 61, 'end': 66, 'probability': 0.9999204287206709}]}",north university of china
370,"Univ Calif Santa Barbara, Dept Chem & Biochem, Santa Barbara, CA 93106 USA","Univ Calif Santa Barbara, Dept Chem & Biochem, Santa Barbara, CA 93106 USA",6001,"{'primary organization': [{'text': 'chem & biochem', 'start': 31, 'end': 45, 'probability': 0.9012686700424766}], 'secondary organization': [{'text': 'chem & biochem', 'start': 31, 'end': 45, 'probability': 0.905989459621491}], 'tertiary organization': [{'text': 'chem & biochem', 'start': 31, 'end': 45, 'probability': 0.9840754130744891}], 'city': [{'text': 'santa barbara', 'start': 47, 'end': 60, 'probability': 0.9952255321124426}], 'postal code': [{'text': '93106', 'start': 65, 'end': 70, 'probability': 0.9662997284408021}], 'country': [{'text': 'usa', 'start': 71, 'end': 74, 'probability': 0.9993159425406084}]}",chem & biochem
371,universite du quebec a montreal,universityersite du quebec a montreal,5999,"{'primary organization': [{'text': 'universite du quebec a montreal', 'start': 0, 'end': 31, 'probability': 0.9116117610639769}], 'secondary organization': [{'text': 'universite du quebec a montreal', 'start': 0, 'end': 31, 'probability': 0.8896085709720865}], 'tertiary organization': [{'text': 'universite du quebec a montreal', 'start': 0, 'end': 31, 'probability': 0.9660249538534948}], 'city': [{'text': 'montreal', 'start': 23, 'end': 31, 'probability': 0.999978602001228}]}",universite du quebec a montreal
372,"Fakultät für Mathematik und Physik, Albert-Ludwigs-Universität, Freiburg, Germany.","Fakultät für Mathematik und Physik, Albert-Ludwigs-Universität, Freiburg, Germany.",5995,"{'primary organization': [{'text': 'fakultät für mathematik und physik, albert-ludwigs-universität', 'start': 0, 'end': 62, 'probability': 0.997813960872648}], 'secondary organization': [{'text': 'fakultät für mathematik und physik, albert-ludwigs-universität', 'start': 0, 'end': 62, 'probability': 0.9970734386706042}], 'tertiary organization': [{'text': 'fakultät für mathematik und physik, albert-ludwigs-universität', 'start': 0, 'end': 62, 'probability': 0.998074222246089}], 'city': [{'text': 'freiburg', 'start': 64, 'end': 72, 'probability': 0.9999833703709342}], 'country': [{'text': 'germany', 'start': 74, 'end': 81, 'probability': 0.9999847412634608}]}","fakultät für mathematik und physik, albert-ludwigs-universität"
373,"Max Planck Inst Astron, D-69117 Heidelberg, Germany","Max Planck Inst Astron, D-69117 Heidelberg, Germany",5992,"{'city': [{'text': 'heidelberg', 'start': 32, 'end': 42, 'probability': 0.9999493366015599}], 'postal code': [{'text': 'd-69117', 'start': 24, 'end': 31, 'probability': 0.7899868343884009}], 'country': [{'text': 'germany', 'start': 44, 'end': 51, 'probability': 0.9999825955131882}]}",NaN
374,"Lawrence Berkeley Natl Lab, Berkeley, CA 94720 USA","Lawrence Berkeley Natl Lab, Berkeley, CA 94720 USA",5963,"{'tertiary organization': [{'text': 'natl', 'start': 18, 'end': 22, 'probability': 0.5652960848806998}], 'city': [{'text': 'berkeley', 'start': 28, 'end': 36, 'probability': 0.999718863769786}], 'country': [{'text': 'usa', 'start': 47, 'end': 50, 'probability': 0.9997738717227378}]}",NaN
375,"Univ Calif Berkeley, Lawrence Berkeley Lab, Berkeley, CA 94720 USA","Univ Calif Berkeley, Lawrence Berkeley Lab, Berkeley, CA 94720 USA",5952,"{'tertiary organization': [{'text': 'univ', 'start': 0, 'end': 4, 'probability': 0.5215897474016877}], 'city': [{'text': 'berkeley', 'start': 11, 'end': 19, 'probability': 0.6298890468147675}, {'text': 'berkeley', 'start': 30, 'end': 38, 'probability': 0.9140333133046497}, {'text': 'berkeley', 'start': 44, 'end': 52, 'probability': 0.9989927513062753}], 'postal code': [{'text': '94720', 'start': 57, 'end': 62, 'probability': 0.9711440727422627}], 'country': [{'text': 'usa', 'start': 63, 'end': 66, 'probability': 0.9984879361280932}]}",NaN
376,"The Fourth Military Medical University(Fourth Military Medical University,The Fourth Military Medical University),Xi'an,China","The Fourth Military Medical University(Fourth Military Medical University,The Fourth Military Medical University),Xi'an,China",5943,"{'primary organization': [{'text': 'the fourth military medical university', 'start': 0, 'end': 38, 'probability': 0.8421604676493999}], 'secondary organization': [{'text': 'the fourth military medical university', 'start': 0, 'end': 38, 'probability': 0.5784342432460043}], 'tertiary organization': [{'text': 'the fourth military medical university', 'start': 0, 'end': 38, 'probability': 0.7191488211342971}, {'text': 'military medical university', 'start': 46, 'end': 73, 'probability': 0.44475432055075004}, {'text': 'military medical university', 'start': 85, 'end': 112, 'probability': 0.3565560945725963}], 'city': [{'text': ""xi'an"", 'start': 114, 'end': 119, 'probability': 0.9996746296873837}], 'country': [{'text': 'china', 'start': 120, 'end': 125, 'probability': 0.9998441346266063}]}",the fourth military medical university
377,"Guangdong University of Technology(Guangdong University of Technology),Guangzhou,China","Guangdong University of Technology(Guangdong University of Technology),Guangzhou,China",5918,"{'primary organization': [{'text': 'guangdong university of technology', 'start': 0, 'end': 34, 'probability': 0.9942840449537016}, {'text': 'guangdong university of technology', 'start': 35, 'end': 69, 'probability': 0.7661624706354928}], 'secondary organization': [{'text': 'guangdong university of technology', 'start': 0, 'end': 34, 'probability': 0.9674464308179047}, {'text': 'guangdong university of technology', 'start': 35, 'end': 69, 'probability': 0.7370401569139702}], 'tertiary organization': [{'text': 'guangdong university of technology', 'start': 0, 'end': 34, 'probability': 0.9922409788796109}, {'text': 'guangdong university of technology', 'start': 35, 'end': 69, 'probability': 0.8571185601078568}], 'city': [{'text': 'guangzhou', 'start': 71, 'end': 80, 'probability': 0.9999429591475959}], 'country': [{'text': 'china', 'start': 81, 'end': 86, 'probability': 0.9999797345018351}]}",guangdong university of technology
378,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",5917,"{'primary organization': [{'text': 'nanyang technological university', 'start': 49, 'end': 81, 'probability': 0.872237188392635}, {'text': 'school of electrical and electronic engineering', 'start': 0, 'end': 47, 'probability': 0.9637033152072547}], 'secondary organization': [{'text': 'nanyang technological university', 'start': 49, 'end': 81, 'probability': 0.8801979007908578}, {'text': 'school of electrical and electronic engineering', 'start': 0, 'end': 47, 'probability': 0.85393142522571}], 'tertiary organization': [{'text': 'nanyang technological university', 'start': 49, 'end': 81, 'probability': 0.924522215161204}, {'text': 'school of electrical and electronic engineering', 'start': 0, 'end': 47, 'probability': 0.9090283382607858}], 'city': [{'text': 'nanyang', 'start': 49, 'end': 56, 'probability': 0.9996178514486864}], 'country': [{'text': 'singapore', 'start': 83, 'end': 92, 'probability': 0.9995890024259175}]}",school of electrical and electronic engineering
379,"Northeast Forestry University(Northeast Forestry University),Harbin,China","Northeast Forestry University(Northeast Forestry University),Harbin,China",5903,"{'primary organization': [{'text': 'northeast forestry university', 'start': 0, 'end': 29, 'probability': 0.9975915915602869}, {'text': 'northeast forestry university', 'start': 30, 'end': 59, 'probability': 0.929051588329628}], 'secondary organization': [{'text': 'northeast forestry university', 'start': 0, 'end': 29, 'probability': 0.9947213981707961}, {'text': 'northeast forestry university', 'start': 30, 'end': 59, 'probability': 0.924744796889545}], 'tertiary organization': [{'text': 'northeast forestry university', 'start': 0, 'end': 29, 'probability': 0.998436717791332}, {'text': 'northeast forestry university', 'start': 30, 'end': 59, 'probability': 0.9826578799782055}], 'city': [{'text': 'harbin', 'start': 61, 'end': 67, 'probability': 0.9998227436029197}], 'country': [{'text': 'china', 'start': 68, 'end': 73, 'probability': 0.9999799133051823}]}",northeast forestry university
380,"Duke Clin Res Inst, Durham, NC USA","Duke Clin Res Inst, Durham, NC USA",5834,"{'primary organization': [{'text': 'duke clin res inst', 'start': 0, 'end': 18, 'probability': 0.961615250625325}], 'secondary organization': [{'text': 'duke clin res inst', 'start': 0, 'end': 18, 'probability': 0.768752843761682}], 'tertiary organization': [{'text': 'duke clin res inst', 'start': 0, 'end': 18, 'probability': 0.8626086326047613}], 'city': [{'text': 'durham', 'start': 20, 'end': 26, 'probability': 0.999870781221599}], 'country': [{'text': 'usa', 'start': 31, 'end': 34, 'probability': 0.9999310976434117}]}",duke clin res inst
381,"Penn State Univ, Dept Mat Sci & Engn, University Pk, PA 16802 USA","Penn State Univ, Dept Mat Sci & Engn, University Pk, PA 16802 USA",5828,"{'primary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.9069539709874483}], 'secondary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.8303278174088007}], 'tertiary organization': [{'text': 'penn state univ', 'start': 0, 'end': 15, 'probability': 0.9153926678805071}], 'city': [{'text': 'university pk', 'start': 38, 'end': 51, 'probability': 0.9135103092617669}], 'postal code': [{'text': '16802', 'start': 56, 'end': 61, 'probability': 0.9978989085503542}], 'country': [{'text': 'usa', 'start': 62, 'end': 65, 'probability': 0.9997441302482102}]}",penn state univ
382,universidad autonoma metropolitana,universityersidad autonoma metropolitana,5827,"{'primary organization': [{'text': 'universidad autonoma metropolitana', 'start': 0, 'end': 34, 'probability': 0.9992377967265611}], 'secondary organization': [{'text': 'universidad autonoma metropolitana', 'start': 0, 'end': 34, 'probability': 0.9674504039992371}], 'tertiary organization': [{'text': 'universidad autonoma metropolitana', 'start': 0, 'end': 34, 'probability': 0.9970029389504447}]}",universidad autonoma metropolitana
383,"Guys & St Thomas NHS Fdn Trust, London, England","Guys & St Thomas NHS Fdn Trust, London, England",5794,"{'primary organization': [{'text': 'fdn trust', 'start': 21, 'end': 30, 'probability': 0.6584759634042072}], 'secondary organization': [{'text': 'guys & st thomas nhs fdn trust', 'start': 0, 'end': 30, 'probability': 0.757816866785987}], 'tertiary organization': [{'text': 'guys & st thomas', 'start': 0, 'end': 16, 'probability': 0.5534932928933358}, {'text': 'fdn trust', 'start': 21, 'end': 30, 'probability': 0.6123297947841451}], 'city': [{'text': 'london', 'start': 32, 'end': 38, 'probability': 0.9999821186761437}], 'country': [{'text': 'england', 'start': 40, 'end': 47, 'probability': 0.9999741913011491}]}",fdn trust
