,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
767,"china academy engineering physics, research center laser fus, mianyang 621900, peoples r china","china acad engn phys, res ctr laser fus, mianyang 621900, peoples r china","china academy engineering physics, research center laser fus, mianyang 621900, peoples r china",3663,china academy engineering physics
768,to whom reprint requests should be addressed.,to whom reprint requests should be addressed.,to whom reprint requests should be addressed.,3661,NaN
769,"bristol myers squibb co, princeton, nj usa","bristol myers squibb co, princeton, nj usa","bristol myers squibb co, princeton, nj usa",3661,bristol myers squibb co
770,"max planck institute festkorperforsch, d-70569 stuttgart, germany","max planck inst festkorperforsch, d-70569 stuttgart, germany","max planck institute festkorperforsch, d-70569 stuttgart, germany",3656,max planck institute
771,"chinese academy sciences, institute solid state physics, key laboratory materials physics, hefei 230031, peoples r china","chinese acad sci, inst solid state phys, key lab mat phys, hefei 230031, peoples r china","chinese academy sciences, institute solid state physics, key laboratory materials physics, hefei 230031, peoples r china",3652,chinese academy sciences
772,"imperial college london(imperial college,imperial college london),london,united kingdom","imperial college london(imperial college,imperial college london),london,united kingdom","imperial college london(imperial college,imperial college london),london,united kingdom",3649,imperial college
773,"university s carolina, department chemical and biochem, columbia, sc 29208 usa","univ s carolina, dept chem & biochem, columbia, sc 29208 usa","university s carolina, department chemical and biochem, columbia, sc 29208 usa",3643,department chemical and biochem
774,author for correspondence.,author for correspondence.,author for correspondence.,3627,NaN
775,"chinese academy sciences, institute rock and soil mech, state key laboratory geomech and geotech engineering, wuhan 430071, hubei, peoples r china","chinese acad sci, inst rock & soil mech, state key lab geomech & geotech engn, wuhan 430071, hubei, peoples r china","chinese academy sciences, institute rock and soil mech, state key laboratory geomech and geotech engineering, wuhan 430071, hubei, peoples r china",3626,chinese academy sciences
776,"nanyang technology university, singapore, singapore","nanyang technol univ, singapore, singapore","nanyang technology university, singapore, singapore",3623,nanyang technology university
777,"moscow mv lomonosov state university, department chemical, moscow 119991, russia","moscow mv lomonosov state univ, dept chem, moscow 119991, russia","moscow mv lomonosov state university, department chemical, moscow 119991, russia",3620,moscow mv lomonosov state university
778,"university north carolina chapel hill, chapel hill, nc usa","univ north carolina chapel hill, chapel hill, nc usa","university north carolina chapel hill, chapel hill, nc usa",3619,university north carolina
779,"university penn,philadelphia,pa 19104","univ penn,philadelphia,pa 19104","university penn,philadelphia,pa 19104",3616,university penn
780,"xi an jiao tong university, state key laboratory mech behav materials, xian 710049, peoples r china","xi an jiao tong univ, state key lab mech behav mat, xian 710049, peoples r china","xi an jiao tong university, state key laboratory mech behav materials, xian 710049, peoples r china",3613,xi an jiao tong university
781,"institute theoret and expt physics, moscow 117259, russia","inst theoret & expt phys, moscow 117259, russia","institute theoret and expt physics, moscow 117259, russia",3612,institute theoret and expt physics
782,"massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states","massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states","massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states",3610,massachusetts institute of technology
783,"university calif davis, department physics, davis, ca 95616 usa","univ calif davis, dept phys, davis, ca 95616 usa","university calif davis, department physics, davis, ca 95616 usa",3608,NaN
784,"college of environmental science and engineering, hunan university, changsha 410082, pr china","college of environmental science and engineering, hunan university, changsha 410082, pr china","college of environmental science and engineering, hunan university, changsha 410082, pr china",3607,college of environmental science and engineering
785,"nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands.","nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands.","nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands.",3607,nikhef national institute for subatomic physics and university of amsterdam
786,"huaqiao university(huaqiao university),quanzhou,china","huaqiao university(huaqiao university),quanzhou,china","huaqiao university(huaqiao university),quanzhou,china",3606,huaqiao university
787,"hop st andre, national center rare skin disorders, department dermatol and pediat dermatol, f-33075 bordeaux, france","hop st andre, natl ctr rare skin disorders, dept dermatol & pediat dermatol, f-33075 bordeaux, france","hop st andre, national center rare skin disorders, department dermatol and pediat dermatol, f-33075 bordeaux, france",3597,national center rare skin disorders
788,"jfk medicine center, edison, nj usa","jfk med ctr, edison, nj usa","jfk medicine center, edison, nj usa",3592,jfk medicine center
789,"argonne national laboratory, div materials sciences, argonne, il 60439 usa","argonne natl lab, div mat sci, argonne, il 60439 usa","argonne national laboratory, div materials sciences, argonne, il 60439 usa",3580,div materials sciences
790,"chinese academy sciences, ningbo institute materials technology and engineering, ningbo 315201, zhejiang, peoples r china","chinese acad sci, ningbo inst mat technol & engn, ningbo 315201, zhejiang, peoples r china","chinese academy sciences, ningbo institute materials technology and engineering, ningbo 315201, zhejiang, peoples r china",3579,chinese academy sciences
791,"institute for materials research, tohoku university, sendai 980-8577, japan","institute for materials research, tohoku university, sendai 980-8577, japan","institute for materials research, tohoku university, sendai 980-8577, japan",3568,institute for materials research
792,"argonne national laboratory, div physics, argonne, il 60439 usa","argonne natl lab, div phys, argonne, il 60439 usa","argonne national laboratory, div physics, argonne, il 60439 usa",3568,argonne national laboratory
793,"rutgers state university, piscataway, nj usa","rutgers state univ, piscataway, nj usa","rutgers state university, piscataway, nj usa",3568,rutgers state university
794,"liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china","liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china","liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china",3567,liaoning university of petroleum and chemical technology
795,"university texas md anderson canc center, department stem cell transplantat and cellular therapy, houston, tx 77030 usa","univ texas md anderson canc ctr, dept stem cell transplantat & cellular therapy, houston, tx 77030 usa","university texas md anderson canc center, department stem cell transplantat and cellular therapy, houston, tx 77030 usa",3565,"anderson canc center, department stem cell transplantat and cellular therapy"
796,"university college london hospital, london, england","univ coll london hosp, london, england","university college london hospital, london, england",3564,university college
797,"hospital university 12 octubre, madrid, spain","hosp univ 12 octubre, madrid, spain","hospital university 12 octubre, madrid, spain",3561,hospital university
798,corresponding author:,corresponding author:,corresponding author:,3560,NaN
799,"northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china","northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china","northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china",3560,northwestern polytechnical university
800,"institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china","institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china","institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china",3556,institute of plasma physics
801,"chinese academy sciences, changchun institute opt fine mech and physics, changchun 130033, peoples r china","chinese acad sci, changchun inst opt fine mech & phys, changchun 130033, peoples r china","chinese academy sciences, changchun institute opt fine mech and physics, changchun 130033, peoples r china",3554,chinese academy sciences
802,"hospital special surg, new york, ny 10021 usa","hosp special surg, new york, ny 10021 usa","hospital special surg, new york, ny 10021 usa",3549,hospital special surg
803,"wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china","wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china","wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china",3548,wuhan national laboratory for optoelectronics
804,"georgia institute technology, sch physics, atlanta, ga 30332 usa","georgia inst technol, sch phys, atlanta, ga 30332 usa","georgia institute technology, sch physics, atlanta, ga 30332 usa",3545,georgia institute technology
805,"national university singapore, department physics, singapore 117542, singapore","natl univ singapore, dept phys, singapore 117542, singapore","national university singapore, department physics, singapore 117542, singapore",3539,national university
806,"ibm corp, thomas j watson research center, yorktown hts, ny 10598 usa","ibm corp, thomas j watson res ctr, yorktown hts, ny 10598 usa","ibm corp, thomas j watson research center, yorktown hts, ny 10598 usa",3538,ibm corp
807,"nanjing university sciences and technology, sch chemical engineering, nanjing 210094, jiangsu, peoples r china","nanjing univ sci & technol, sch chem engn, nanjing 210094, jiangsu, peoples r china","nanjing university sciences and technology, sch chemical engineering, nanjing 210094, jiangsu, peoples r china",3538,sch chemical engineering
808,"max planck institute quantum opt, d-85748 garching, germany","max planck inst quantum opt, d-85748 garching, germany","max planck institute quantum opt, d-85748 garching, germany",3537,max planck institute quantum opt
809,"academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china","academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china","academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china",3535,academy of armored force engineering
810,"university calif irvine, irvine, ca 92717 usa","univ calif irvine, irvine, ca 92717 usa","university calif irvine, irvine, ca 92717 usa",3533,university calif
811,leonard m miller school of medicine,leonard m miller school of medicine,leonard m miller school of medicine,3525,leonard m miller school of medicine
812,"laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy","laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy","laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy",3524,laboratori nazionali di frascati di infn
813,"laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france.","laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france.","laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france.",3523,laboratoire de physique nucléaire et de hautes energies
814,"university nebraska, department chemical, lincoln, ne 68588 usa","univ nebraska, dept chem, lincoln, ne 68588 usa","university nebraska, department chemical, lincoln, ne 68588 usa",3519,university nebraska
815,"university nebraska, lincoln, ne 68588 usa","univ nebraska, lincoln, ne 68588 usa","university nebraska, lincoln, ne 68588 usa",3515,university nebraska
816,"dalian university technology, state key laboratory fine chemical, dalian 116024, peoples r china","dalian univ technol, state key lab fine chem, dalian 116024, peoples r china","dalian university technology, state key laboratory fine chemical, dalian 116024, peoples r china",3514,fine chemical
817,"indian institute sciences, department physics, bangalore 560012, karnataka, india","indian inst sci, dept phys, bangalore 560012, karnataka, india","indian institute sciences, department physics, bangalore 560012, karnataka, india",3513,indian institute sciences
818,"uc berkeley(university of california),berkeley,united states","uc berkeley(university of california),berkeley,united states","uc berkeley(university of california),berkeley,united states",3511,uc berkeley
819,"state key laboratory particle detect and elect, beijing 100049, peoples r china","state key lab particle detect & elect, beijing 100049, peoples r china","state key laboratory particle detect and elect, beijing 100049, peoples r china",3507,particle detect and elect
820,"oslo university hospital, oslo, norway","oslo univ hosp, oslo, norway","oslo university hospital, oslo, norway",3505,oslo university hospital
821,"berry consultants, austin, tx usa","berry consultants, austin, tx usa","berry consultants, austin, tx usa",3502,berry consultants
822,et al.,et al.,et al.,3500,NaN
823,"university calif santa cruz, department chemical and biochem, santa cruz, ca 95064 usa","univ calif santa cruz, dept chem & biochem, santa cruz, ca 95064 usa","university calif santa cruz, department chemical and biochem, santa cruz, ca 95064 usa",3494,department chemical and biochem
824,"china university petroleum, state key laboratory petroleum resources and prospecting, beijing 102249, peoples r china","china univ petr, state key lab petr resources & prospecting, beijing 102249, peoples r china","china university petroleum, state key laboratory petroleum resources and prospecting, beijing 102249, peoples r china",3490,china university
825,college of william mary,college of william mary,college of william mary,3487,college of william mary
826,bogazici university,bogazici university,bogazici university,3486,bogazici university
827,"woods hole oceanog institute, woods hole, ma 02543 usa","woods hole oceanog inst, woods hole, ma 02543 usa","woods hole oceanog institute, woods hole, ma 02543 usa",3484,woods hole oceanog institute
828,"fdn irccs ist nazl tumori, milan, italy","fdn irccs ist nazl tumori, milan, italy","fdn irccs ist nazl tumori, milan, italy",3480,fdn irccs
829,"section de physique, université de genève, geneva, switzerland.","section de physique, université de genève, geneva, switzerland.","section de physique, université de genève, geneva, switzerland.",3479,université de genève
830,"massachusetts general hospital, department pathol, boston, ma 02114 usa","massachusetts gen hosp, dept pathol, boston, ma 02114 usa","massachusetts general hospital, department pathol, boston, ma 02114 usa",3478,massachusetts general hospital
831,"centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain.","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain.","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain.",3475,ciemat
832,"katholieke university leuven, louvain, belgium","katholieke univ leuven, louvain, belgium","katholieke university leuven, louvain, belgium",3474,katholieke university leuven
833,"princeton plasma physics laboratory, princeton, nj 08543 usa","princeton plasma phys lab, princeton, nj 08543 usa","princeton plasma physics laboratory, princeton, nj 08543 usa",3470,princeton plasma physics laboratory
834,"academy sinica, institute physics, taipei 11529, taiwan","acad sinica, inst phys, taipei 11529, taiwan","academy sinica, institute physics, taipei 11529, taiwan",3468,"academy sinica, institute physics"
835,"swiss trop and publ health institute, basel, switzerland","swiss trop & publ hlth inst, basel, switzerland","swiss trop and publ health institute, basel, switzerland",3464,swiss trop
836,"mem sloan kettering canc center, new york, ny usa","mem sloan kettering canc ctr, new york, ny usa","mem sloan kettering canc center, new york, ny usa",3463,NaN
837,"charles university prague, prague, czech republic","charles univ prague, prague, czech republic","charles university prague, prague, czech republic",3462,charles university prague
838,"centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain",3458,centro de investigaciones energéticas medioambientales y tecnológicas
839,"fox chase canc center, 7701 burholme ave, philadelphia, pa 19111 usa","fox chase canc ctr, 7701 burholme ave, philadelphia, pa 19111 usa","fox chase canc center, 7701 burholme ave, philadelphia, pa 19111 usa",3458,NaN
840,"institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china","institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china","institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china",3453,institute of computing technology
841,"hebei university technology, sch materials sciences and engineering, tianjin 300130, peoples r china","hebei univ technol, sch mat sci & engn, tianjin 300130, peoples r china","hebei university technology, sch materials sciences and engineering, tianjin 300130, peoples r china",3453,hebei university technology
842,"national taiwan university, department chemical engineering, taipei 10617, taiwan","natl taiwan univ, dept chem engn, taipei 10617, taiwan","national taiwan university, department chemical engineering, taipei 10617, taiwan",3452,national taiwan university
843,"samsung medicine center, seoul, south korea","samsung med ctr, seoul, south korea","samsung medicine center, seoul, south korea",3450,samsung medicine center
844,"hospital university la paz, madrid, spain","hosp univ la paz, madrid, spain","hospital university la paz, madrid, spain",3448,hospital university
845,"college of electrical engineering, zhejiang university, hangzhou, china","college of electrical engineering, zhejiang university, hangzhou, china","college of electrical engineering, zhejiang university, hangzhou, china",3445,college of electrical engineering
846,"london sch hyg and trop medicine, london wc1, england","london sch hyg & trop med, london wc1, england","london sch hyg and trop medicine, london wc1, england",3441,trop medicine
847,"guangxi medical university(guangxi medical university),nanning,china","guangxi medical university(guangxi medical university),nanning,china","guangxi medical university(guangxi medical university),nanning,china",3440,guangxi medical university
848,"mem reg hospital, hollywood, fl usa","mem reg hosp, hollywood, fl usa","mem reg hospital, hollywood, fl usa",3440,mem reg hospital
849,"institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china","institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china","institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china",3438,institute of mechanics
850,"argonne national lab,argonne,il 60439","argonne natl lab,argonne,il 60439","argonne national lab,argonne,il 60439",3435,argonne national lab
851,"technology university dresden, dresden, germany","tech univ dresden, dresden, germany","technology university dresden, dresden, germany",3429,technology university
852,"school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa","school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa","school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa",3426,school of electrical and computer engineering
853,"indian institute technology, department chemical, bombay 400076, maharashtra, india","indian inst technol, dept chem, bombay 400076, maharashtra, india","indian institute technology, department chemical, bombay 400076, maharashtra, india",3416,indian institute technology
854,"university texas md anderson canc center, department surg oncol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept surg oncol, houston, tx 77030 usa","university texas md anderson canc center, department surg oncol, houston, tx 77030 usa",3412,university texas
855,"xi an jiao tong university, state key laboratory elect insulat and power equipment, xian 710049, peoples r china","xi an jiao tong univ, state key lab elect insulat & power equipment, xian 710049, peoples r china","xi an jiao tong university, state key laboratory elect insulat and power equipment, xian 710049, peoples r china",3407,xi an jiao tong university
856,"renji hospital(shanghai second medical university,renji hospital),shanghai,china","renji hospital(shanghai second medical university,renji hospital),shanghai,china","renji hospital(shanghai second medical university,renji hospital),shanghai,china",3406,shanghai second medical university
857,"oak ridge national laboratory, oak ridge, tn usa","oak ridge natl lab, oak ridge, tn usa","oak ridge national laboratory, oak ridge, tn usa",3398,oak ridge national laboratory
858,"chinese academy sciences, institute high energy physics, key laboratory particle astrophys, beijing 100049, peoples r china","chinese acad sci, inst high energy phys, key lab particle astrophys, beijing 100049, peoples r china","chinese academy sciences, institute high energy physics, key laboratory particle astrophys, beijing 100049, peoples r china",3398,institute high energy physics
859,"stryker neurovasc, fremont, ca usa","stryker neurovasc, fremont, ca usa","stryker neurovasc, fremont, ca usa",3393,stryker neurovasc
860,"national synchrotron radiat research center, hsinchu 30076, taiwan","natl synchrotron radiat res ctr, hsinchu 30076, taiwan","national synchrotron radiat research center, hsinchu 30076, taiwan",3392,national synchrotron radiat research center
861,"northwest normal university(northwest normal university),lanzhou,china","northwest normal university(northwest normal university),lanzhou,china","northwest normal university(northwest normal university),lanzhou,china",3390,northwest normal university
862,"mahmoud yaacoub center urgent medicine assistance tunis, laboratory toxicol and environm lr12sp07, tunis, tunisia","mahmoud yaacoub ctr urgent med assistance tunis, lab toxicol & environm lr12sp07, tunis, tunisia","mahmoud yaacoub center urgent medicine assistance tunis, laboratory toxicol and environm lr12sp07, tunis, tunisia",3390,mahmoud yaacoub center urgent medicine assistance tunis
863,"university fed fluminense, niteroi, rj, brazil","univ fed fluminense, niteroi, rj, brazil","university fed fluminense, niteroi, rj, brazil",3387,university fed fluminense
864,"technology university dortmund, fak physics, dortmund, germany","tech univ dortmund, fak phys, dortmund, germany","technology university dortmund, fak physics, dortmund, germany",3386,fak physics
865,"university hospital toulouse, department diagnost and therapeut neuroradiol, toulouse, france","univ hosp toulouse, dept diagnost & therapeut neuroradiol, toulouse, france","university hospital toulouse, department diagnost and therapeut neuroradiol, toulouse, france",3384,"university hospital toulouse, department diagnost and therapeut neuroradiol"
866,"university calif san francisco, calif pacific medicine center, san francisco, ca 94143 usa","univ calif san francisco, calif pacific med ctr, san francisco, ca 94143 usa","university calif san francisco, calif pacific medicine center, san francisco, ca 94143 usa",3374,university calif
867,"chinese academy sciences, institute geog sciences and nat resources research, beijing 100101, peoples r china","chinese acad sci, inst geog sci & nat resources res, beijing 100101, peoples r china","chinese academy sciences, institute geog sciences and nat resources research, beijing 100101, peoples r china",3373,geog sciences and nat resources research
868,"mt sinai hospital, new york, ny 10029 usa","mt sinai hosp, new york, ny 10029 usa","mt sinai hospital, new york, ny 10029 usa",3371,mt sinai hospital
869,"university autonoma barcelona, department neurosci, hospital germans trias and pujol, badalona, spain","univ autonoma barcelona, dept neurosci, hosp germans trias & pujol, badalona, spain","university autonoma barcelona, department neurosci, hospital germans trias and pujol, badalona, spain",3371,university autonoma barcelona
870,"capital health hospital, center neurosci, trenton, nj usa","capital hlth hosp, ctr neurosci, trenton, nj usa","capital health hospital, center neurosci, trenton, nj usa",3371,capital health hospital
871,"university hospital toulouse, neuroimaging center, toulouse, france","univ hosp toulouse, neuroimaging ctr, toulouse, france","university hospital toulouse, neuroimaging center, toulouse, france",3371,university hospital toulouse
872,"university calif los angeles, david geffen sch medicine, neurovasc imaging research core, department neurol, los angeles, ca 90095 usa","univ calif los angeles, david geffen sch med, neurovasc imaging res core, dept neurol, los angeles, ca 90095 usa","university calif los angeles, david geffen sch medicine, neurovasc imaging research core, department neurol, los angeles, ca 90095 usa",3371,neurovasc imaging research core
873,"city university of hong kong(city university of hong kong),hong kong,china","city university of hong kong(city university of hong kong),hong kong,china","city university of hong kong(city university of hong kong),hong kong,china",3370,city university of hong kong
874,"institute for particle physics, eth zurich, zurich, switzerland.","institute for particle physics, eth zurich, zurich, switzerland.","institute for particle physics, eth zurich, zurich, switzerland.",3353,institute for particle physics
875,"technion israel institute technology, department physics, il-32000 haifa, israel","technion israel inst technol, dept phys, il-32000 haifa, israel","technion israel institute technology, department physics, il-32000 haifa, israel",3350,technion israel institute technology
876,"mayo clinic and mayo fdn, rochester, mn 55905 usa","mayo clin & mayo fdn, rochester, mn 55905 usa","mayo clinic and mayo fdn, rochester, mn 55905 usa",3350,mayo clinic
877,"national center atmospher research, pob 3000, boulder, co 80307 usa","natl ctr atmospher res, pob 3000, boulder, co 80307 usa","national center atmospher research, pob 3000, boulder, co 80307 usa",3350,national center atmospher research
878,"chinese academy sciences, dalian institute chemical physics, dalian 116023, peoples r china","chinese acad sci, dalian inst chem phys, dalian 116023, peoples r china","chinese academy sciences, dalian institute chemical physics, dalian 116023, peoples r china",3343,chinese academy sciences
879,"university calif san francisco, department medicine, san francisco, ca usa","univ calif san francisco, dept med, san francisco, ca usa","university calif san francisco, department medicine, san francisco, ca usa",3342,NaN
880,"university of wisconsin — madison,madison,u.s.a.","university of wisconsin — madison,madison,u.s.a.","university of wisconsin — madison,madison,u.s.a.",3341,university of wisconsin
881,"lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china","lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china","lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china",3334,lanzhou jiaotong university
882,"murdoch childrens research institute, melbourne, vic, australia","murdoch childrens res inst, melbourne, vic, australia","murdoch childrens research institute, melbourne, vic, australia",3334,murdoch childrens research institute
883,university of wurzburg,university of wurzburg,university of wurzburg,3331,university of wurzburg
884,"university calif berkeley, department plant and microbial biol, berkeley, ca 94720 usa","univ calif berkeley, dept plant & microbial biol, berkeley, ca 94720 usa","university calif berkeley, department plant and microbial biol, berkeley, ca 94720 usa",3322,department plant and microbial biol
885,"hospital italiano buenos aires, buenos aires, df, argentina","hosp italiano buenos aires, buenos aires, df, argentina","hospital italiano buenos aires, buenos aires, df, argentina",3322,hospital italiano
886,"montefiore medicine center, 111 e 210th st, bronx, ny 10467 usa","montefiore med ctr, 111 e 210th st, bronx, ny 10467 usa","montefiore medicine center, 111 e 210th st, bronx, ny 10467 usa",3321,montefiore medicine center
887,"af ioffe engineering physics inst,leningrad,ussr","af ioffe engn phys inst,leningrad,ussr","af ioffe engineering physics inst,leningrad,ussr",3318,ioffe engineering physics inst
888,"no illinois university, de kalb, il 60115 usa","no illinois univ, de kalb, il 60115 usa","no illinois university, de kalb, il 60115 usa",3316,illinois university
889,"national taiwan university, department chemical, taipei 106, taiwan","natl taiwan univ, dept chem, taipei 106, taiwan","national taiwan university, department chemical, taipei 106, taiwan",3316,national taiwan university
890,"instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain.","instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain.","instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain.",3316,instituto de física corpuscular
891,"max planck institute solid state research, d-70569 stuttgart, germany","max planck inst solid state res, d-70569 stuttgart, germany","max planck institute solid state research, d-70569 stuttgart, germany",3315,solid state research
892,"chinese academy sciences, national astron observ, beijing 100012, peoples r china","chinese acad sci, natl astron observ, beijing 100012, peoples r china","chinese academy sciences, national astron observ, beijing 100012, peoples r china",3314,chinese academy sciences
893,"mem sloan kettering canc ctr,new york,ny 10021","mem sloan kettering canc ctr,new york,ny 10021","mem sloan kettering canc ctr,new york,ny 10021",3312,NaN
894,"anal group inc, boston, ma usa","anal grp inc, boston, ma usa","anal group inc, boston, ma usa",3311,anal group inc
895,"north china elect power university, state key laboratory alternate elect power syst renewabl, beijing 102206, peoples r china","north china elect power univ, state key lab alternate elect power syst renewabl, beijing 102206, peoples r china","north china elect power university, state key laboratory alternate elect power syst renewabl, beijing 102206, peoples r china",3308,elect power university
896,"university wisconsin, department chemical, 1101 university ave, madison, wi 53706 usa","univ wisconsin, dept chem, 1101 univ ave, madison, wi 53706 usa","university wisconsin, department chemical, 1101 university ave, madison, wi 53706 usa",3304,department chemical
897,"zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china","zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china","zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china",3301,zhejiang sci-tech university
898,"university s florida, department chemical, tampa, fl 33620 usa","univ s florida, dept chem, tampa, fl 33620 usa","university s florida, department chemical, tampa, fl 33620 usa",3299,university s florida
899,национальный исследовательский университет высшая школа экономики,национальный исследовательский университет высшая школа экономики,национальный исследовательский университет высшая школа экономики,3292,NaN
900,"qimr berghofer medicine research institute, brisbane, qld, australia","qimr berghofer med res inst, brisbane, qld, australia","qimr berghofer medicine research institute, brisbane, qld, australia",3291,qimr berghofer medicine research institute
901,"academy sciences ussr,inst chemical phys,moscow v-71,ussr","acad sci ussr,inst chem phys,moscow v-71,ussr","academy sciences ussr,inst chemical phys,moscow v-71,ussr",3290,academy sciences
902,"northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china","northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china","northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china",3288,northwest institute of nuclear technology
903,"rhein westfal th aachen, physics institute a 3, aachen, germany","rhein westfal th aachen, phys inst a 3, aachen, germany","rhein westfal th aachen, physics institute a 3, aachen, germany",3284,rhein westfal
904,"chinese academy sciences, shanghai institute ceram, shanghai 200050, peoples r china","chinese acad sci, shanghai inst ceram, shanghai 200050, peoples r china","chinese academy sciences, shanghai institute ceram, shanghai 200050, peoples r china",3281,chinese academy sciences
905,"university rhode isl, kingston, ri 02881 usa","univ rhode isl, kingston, ri 02881 usa","university rhode isl, kingston, ri 02881 usa",3280,NaN
906,"huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, hubei, peoples r china","huazhong univ sci & technol, wuhan natl lab optoelect, wuhan 430074, hubei, peoples r china","huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, hubei, peoples r china",3270,huazhong university sciences and technology
907,"medical center of fudan university(),shanghai,china","medical center of fudan university(),shanghai,china","medical center of fudan university(),shanghai,china",3268,fudan university
908,"beijing institute technology, sch informat and elect, beijing 100081, peoples r china","beijing inst technol, sch informat & elect, beijing 100081, peoples r china","beijing institute technology, sch informat and elect, beijing 100081, peoples r china",3267,beijing institute technology
909,"harvard medicine sch, brigham and womens hospital, boston, ma 02115 usa","harvard med sch, brigham & womens hosp, boston, ma 02115 usa","harvard medicine sch, brigham and womens hospital, boston, ma 02115 usa",3267,harvard medicine
910,"university fed parana, curitiba, parana, brazil","univ fed parana, curitiba, parana, brazil","university fed parana, curitiba, parana, brazil",3263,university fed parana
911,"hospital university penn, philadelphia, pa 19104 usa","hosp univ penn, philadelphia, pa 19104 usa","hospital university penn, philadelphia, pa 19104 usa",3259,hospital university penn
