Origin Organizations,Cleaned,Filled
"imperial college london(imperial college,imperial college london),london,united kingdom","imperial college london(imperial college,imperial college london),london,united kingdom","imperial college london(imperial college,imperial college london),london,united kingdom"
"university s carolina, department chemical and biochem, columbia, sc 29208 usa","univ s carolina, dept chem & biochem, columbia, sc 29208 usa","university s carolina, department chemical and biochem, columbia, sc 29208 usa"
author for correspondence.,author for correspondence.,author for correspondence.
"chinese academy sciences, institute rock and soil mech, state key laboratory geomech and geotech engineering, wuhan 430071, hubei, peoples r china","chinese acad sci, inst rock & soil mech, state key lab geomech & geotech engn, wuhan 430071, hubei, peoples r china","chinese academy sciences, institute rock and soil mech, state key laboratory geomech and geotech engineering, wuhan 430071, hubei, peoples r china"
"nanyang technology university, singapore, singapore","nanyang technol univ, singapore, singapore","nanyang technology university, singapore, singapore"
"moscow mv lomonosov state university, department chemical, moscow 119991, russia","moscow mv lomonosov state univ, dept chem, moscow 119991, russia","moscow mv lomonosov state university, department chemical, moscow 119991, russia"
"university north carolina chapel hill, chapel hill, nc usa","univ north carolina chapel hill, chapel hill, nc usa","university north carolina chapel hill, chapel hill, nc usa"
"university penn,philadelphia,pa 19104","univ penn,philadelphia,pa 19104","university penn,philadelphia,pa 19104"
"xi an jiao tong university, state key laboratory mech behav materials, xian 710049, peoples r china","xi an jiao tong univ, state key lab mech behav mat, xian 710049, peoples r china","xi an jiao tong university, state key laboratory mech behav materials, xian 710049, peoples r china"
"institute theoret and expt physics, moscow 117259, russia","inst theoret & expt phys, moscow 117259, russia","institute theoret and expt physics, moscow 117259, russia"
"massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states","massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states","massachusetts institute of technology(massachusetts institute of technology,massachusetts inst. of technology,mit),cambridge,united states"
"university calif davis, department physics, davis, ca 95616 usa","univ calif davis, dept phys, davis, ca 95616 usa","university calif davis, department physics, davis, ca 95616 usa"
"college of environmental science and engineering, hunan university, changsha 410082, pr china","college of environmental science and engineering, hunan university, changsha 410082, pr china","college of environmental science and engineering, hunan university, changsha 410082, pr china"
"nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands.","nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands.","nikhef national institute for subatomic physics and university of amsterdam, amsterdam, the netherlands."
"huaqiao university(huaqiao university),quanzhou,china","huaqiao university(huaqiao university),quanzhou,china","huaqiao university(huaqiao university),quanzhou,china"
"hop st andre, national center rare skin disorders, department dermatol and pediat dermatol, f-33075 bordeaux, france","hop st andre, natl ctr rare skin disorders, dept dermatol & pediat dermatol, f-33075 bordeaux, france","hop st andre, national center rare skin disorders, department dermatol and pediat dermatol, f-33075 bordeaux, france"
"jfk medicine center, edison, nj usa","jfk med ctr, edison, nj usa","jfk medicine center, edison, nj usa"
"argonne national laboratory, div materials sciences, argonne, il 60439 usa","argonne natl lab, div mat sci, argonne, il 60439 usa","argonne national laboratory, div materials sciences, argonne, il 60439 usa"
"chinese academy sciences, ningbo institute materials technology and engineering, ningbo 315201, zhejiang, peoples r china","chinese acad sci, ningbo inst mat technol & engn, ningbo 315201, zhejiang, peoples r china","chinese academy sciences, ningbo institute materials technology and engineering, ningbo 315201, zhejiang, peoples r china"
"institute for materials research, tohoku university, sendai 980-8577, japan","institute for materials research, tohoku university, sendai 980-8577, japan","institute for materials research, tohoku university, sendai 980-8577, japan"
"argonne national laboratory, div physics, argonne, il 60439 usa","argonne natl lab, div phys, argonne, il 60439 usa","argonne national laboratory, div physics, argonne, il 60439 usa"
"rutgers state university, piscataway, nj usa","rutgers state univ, piscataway, nj usa","rutgers state university, piscataway, nj usa"
"liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china","liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china","liaoning university of petroleum and chemical technology(^ liaoning university of petroleum and chemical technology),fushun,china"
"university texas md anderson canc center, department stem cell transplantat and cellular therapy, houston, tx 77030 usa","univ texas md anderson canc ctr, dept stem cell transplantat & cellular therapy, houston, tx 77030 usa","university texas md anderson canc center, department stem cell transplantat and cellular therapy, houston, tx 77030 usa"
"university college london hospital, london, england","univ coll london hosp, london, england","university college london hospital, london, england"
"hospital university 12 octubre, madrid, spain","hosp univ 12 octubre, madrid, spain","hospital university 12 octubre, madrid, spain"
corresponding author:,corresponding author:,corresponding author:
"northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china","northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china","northwestern polytechnical university state key laboratory of solidification processing china(northwestern polytechnical university),xi an,china"
"institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china","institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china","institute of plasma physics chinese academy of sciences(chinese academy of sciences),hefei,china"
"chinese academy sciences, changchun institute opt fine mech and physics, changchun 130033, peoples r china","chinese acad sci, changchun inst opt fine mech & phys, changchun 130033, peoples r china","chinese academy sciences, changchun institute opt fine mech and physics, changchun 130033, peoples r china"
"hospital special surg, new york, ny 10021 usa","hosp special surg, new york, ny 10021 usa","hospital special surg, new york, ny 10021 usa"
"wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china","wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china","wuhan national laboratory for optoelectronics(wuhan national laboratory for optoelectronics,huazhong university of science and technology),wuhan,china"
"georgia institute technology, sch physics, atlanta, ga 30332 usa","georgia inst technol, sch phys, atlanta, ga 30332 usa","georgia institute technology, sch physics, atlanta, ga 30332 usa"
"national university singapore, department physics, singapore 117542, singapore","natl univ singapore, dept phys, singapore 117542, singapore","national university singapore, department physics, singapore 117542, singapore"
"ibm corp, thomas j watson research center, yorktown hts, ny 10598 usa","ibm corp, thomas j watson res ctr, yorktown hts, ny 10598 usa","ibm corp, thomas j watson research center, yorktown hts, ny 10598 usa"
"nanjing university sciences and technology, sch chemical engineering, nanjing 210094, jiangsu, peoples r china","nanjing univ sci & technol, sch chem engn, nanjing 210094, jiangsu, peoples r china","nanjing university sciences and technology, sch chemical engineering, nanjing 210094, jiangsu, peoples r china"
"max planck institute quantum opt, d-85748 garching, germany","max planck inst quantum opt, d-85748 garching, germany","max planck institute quantum opt, d-85748 garching, germany"
"academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china","academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china","academy of armored force engineering china(academy of armored force engineering,academy of armored forces engineering,armored force engineering institute),beijing,china"
"university calif irvine, irvine, ca 92717 usa","univ calif irvine, irvine, ca 92717 usa","university calif irvine, irvine, ca 92717 usa"
leonard m miller school of medicine,leonard m miller school of medicine,leonard m miller school of medicine
"laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy","laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy","laboratori nazionali di frascati di infn(laboratori nazionali di frascati,laboratori nazionali di frascati dell'infn),frascati,italy"
"laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france.","laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france.","laboratoire de physique nucléaire et de hautes energies, upmc and université paris-diderot and cnrs/in2p3, paris, france."
"university nebraska, department chemical, lincoln, ne 68588 usa","univ nebraska, dept chem, lincoln, ne 68588 usa","university nebraska, department chemical, lincoln, ne 68588 usa"
"university nebraska, lincoln, ne 68588 usa","univ nebraska, lincoln, ne 68588 usa","university nebraska, lincoln, ne 68588 usa"
"dalian university technology, state key laboratory fine chemical, dalian 116024, peoples r china","dalian univ technol, state key lab fine chem, dalian 116024, peoples r china","dalian university technology, state key laboratory fine chemical, dalian 116024, peoples r china"
"indian institute sciences, department physics, bangalore 560012, karnataka, india","indian inst sci, dept phys, bangalore 560012, karnataka, india","indian institute sciences, department physics, bangalore 560012, karnataka, india"
"uc berkeley(university of california),berkeley,united states","uc berkeley(university of california),berkeley,united states","uc berkeley(university of california),berkeley,united states"
"state key laboratory particle detect and elect, beijing 100049, peoples r china","state key lab particle detect & elect, beijing 100049, peoples r china","state key laboratory particle detect and elect, beijing 100049, peoples r china"
"oslo university hospital, oslo, norway","oslo univ hosp, oslo, norway","oslo university hospital, oslo, norway"
"berry consultants, austin, tx usa","berry consultants, austin, tx usa","berry consultants, austin, tx usa"
et al.,et al.,et al.
"university calif santa cruz, department chemical and biochem, santa cruz, ca 95064 usa","univ calif santa cruz, dept chem & biochem, santa cruz, ca 95064 usa","university calif santa cruz, department chemical and biochem, santa cruz, ca 95064 usa"
"china university petroleum, state key laboratory petroleum resources and prospecting, beijing 102249, peoples r china","china univ petr, state key lab petr resources & prospecting, beijing 102249, peoples r china","china university petroleum, state key laboratory petroleum resources and prospecting, beijing 102249, peoples r china"
college of william mary,college of william mary,college of william mary
bogazici university,bogazici university,bogazici university
"woods hole oceanog institute, woods hole, ma 02543 usa","woods hole oceanog inst, woods hole, ma 02543 usa","woods hole oceanog institute, woods hole, ma 02543 usa"
"fdn irccs ist nazl tumori, milan, italy","fdn irccs ist nazl tumori, milan, italy","fdn irccs ist nazl tumori, milan, italy"
"section de physique, université de genève, geneva, switzerland.","section de physique, université de genève, geneva, switzerland.","section de physique, université de genève, geneva, switzerland."
"massachusetts general hospital, department pathol, boston, ma 02114 usa","massachusetts gen hosp, dept pathol, boston, ma 02114 usa","massachusetts general hospital, department pathol, boston, ma 02114 usa"
"centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain.","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain.","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat), madrid, spain."
"katholieke university leuven, louvain, belgium","katholieke univ leuven, louvain, belgium","katholieke university leuven, louvain, belgium"
"princeton plasma physics laboratory, princeton, nj 08543 usa","princeton plasma phys lab, princeton, nj 08543 usa","princeton plasma physics laboratory, princeton, nj 08543 usa"
"academy sinica, institute physics, taipei 11529, taiwan","acad sinica, inst phys, taipei 11529, taiwan","academy sinica, institute physics, taipei 11529, taiwan"
"swiss trop and publ health institute, basel, switzerland","swiss trop & publ hlth inst, basel, switzerland","swiss trop and publ health institute, basel, switzerland"
"mem sloan kettering canc center, new york, ny usa","mem sloan kettering canc ctr, new york, ny usa","mem sloan kettering canc center, new york, ny usa"
"charles university prague, prague, czech republic","charles univ prague, prague, czech republic","charles university prague, prague, czech republic"
"centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain","centro de investigaciones energéticas medioambientales y tecnológicas (ciemat),madrid,spain"
"fox chase canc center, 7701 burholme ave, philadelphia, pa 19111 usa","fox chase canc ctr, 7701 burholme ave, philadelphia, pa 19111 usa","fox chase canc center, 7701 burholme ave, philadelphia, pa 19111 usa"
"institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china","institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china","institute of computing technology chinese academy of sciences(chinese academy of sciences),beijing,china"
"hebei university technology, sch materials sciences and engineering, tianjin 300130, peoples r china","hebei univ technol, sch mat sci & engn, tianjin 300130, peoples r china","hebei university technology, sch materials sciences and engineering, tianjin 300130, peoples r china"
"national taiwan university, department chemical engineering, taipei 10617, taiwan","natl taiwan univ, dept chem engn, taipei 10617, taiwan","national taiwan university, department chemical engineering, taipei 10617, taiwan"
"samsung medicine center, seoul, south korea","samsung med ctr, seoul, south korea","samsung medicine center, seoul, south korea"
"hospital university la paz, madrid, spain","hosp univ la paz, madrid, spain","hospital university la paz, madrid, spain"
"college of electrical engineering, zhejiang university, hangzhou, china","college of electrical engineering, zhejiang university, hangzhou, china","college of electrical engineering, zhejiang university, hangzhou, china"
"london sch hyg and trop medicine, london wc1, england","london sch hyg & trop med, london wc1, england","london sch hyg and trop medicine, london wc1, england"
"guangxi medical university(guangxi medical university),nanning,china","guangxi medical university(guangxi medical university),nanning,china","guangxi medical university(guangxi medical university),nanning,china"
"mem reg hospital, hollywood, fl usa","mem reg hosp, hollywood, fl usa","mem reg hospital, hollywood, fl usa"
"institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china","institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china","institute of mechanics chinese academy of sciences(institute of mechanics,inst of mechanics),beijing,china"
"argonne national lab,argonne,il 60439","argonne natl lab,argonne,il 60439","argonne national lab,argonne,il 60439"
"technology university dresden, dresden, germany","tech univ dresden, dresden, germany","technology university dresden, dresden, germany"
"school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa","school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa","school of electrical and computer engineering, georgia institute of technology, atlanta, ga, usa"
"indian institute technology, department chemical, bombay 400076, maharashtra, india","indian inst technol, dept chem, bombay 400076, maharashtra, india","indian institute technology, department chemical, bombay 400076, maharashtra, india"
"university texas md anderson canc center, department surg oncol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept surg oncol, houston, tx 77030 usa","university texas md anderson canc center, department surg oncol, houston, tx 77030 usa"
"xi an jiao tong university, state key laboratory elect insulat and power equipment, xian 710049, peoples r china","xi an jiao tong univ, state key lab elect insulat & power equipment, xian 710049, peoples r china","xi an jiao tong university, state key laboratory elect insulat and power equipment, xian 710049, peoples r china"
"renji hospital(shanghai second medical university,renji hospital),shanghai,china","renji hospital(shanghai second medical university,renji hospital),shanghai,china","renji hospital(shanghai second medical university,renji hospital),shanghai,china"
"oak ridge national laboratory, oak ridge, tn usa","oak ridge natl lab, oak ridge, tn usa","oak ridge national laboratory, oak ridge, tn usa"
"chinese academy sciences, institute high energy physics, key laboratory particle astrophys, beijing 100049, peoples r china","chinese acad sci, inst high energy phys, key lab particle astrophys, beijing 100049, peoples r china","chinese academy sciences, institute high energy physics, key laboratory particle astrophys, beijing 100049, peoples r china"
"stryker neurovasc, fremont, ca usa","stryker neurovasc, fremont, ca usa","stryker neurovasc, fremont, ca usa"
"national synchrotron radiat research center, hsinchu 30076, taiwan","natl synchrotron radiat res ctr, hsinchu 30076, taiwan","national synchrotron radiat research center, hsinchu 30076, taiwan"
"northwest normal university(northwest normal university),lanzhou,china","northwest normal university(northwest normal university),lanzhou,china","northwest normal university(northwest normal university),lanzhou,china"
"mahmoud yaacoub center urgent medicine assistance tunis, laboratory toxicol and environm lr12sp07, tunis, tunisia","mahmoud yaacoub ctr urgent med assistance tunis, lab toxicol & environm lr12sp07, tunis, tunisia","mahmoud yaacoub center urgent medicine assistance tunis, laboratory toxicol and environm lr12sp07, tunis, tunisia"
"university fed fluminense, niteroi, rj, brazil","univ fed fluminense, niteroi, rj, brazil","university fed fluminense, niteroi, rj, brazil"
"technology university dortmund, fak physics, dortmund, germany","tech univ dortmund, fak phys, dortmund, germany","technology university dortmund, fak physics, dortmund, germany"
"university hospital toulouse, department diagnost and therapeut neuroradiol, toulouse, france","univ hosp toulouse, dept diagnost & therapeut neuroradiol, toulouse, france","university hospital toulouse, department diagnost and therapeut neuroradiol, toulouse, france"
"university calif san francisco, calif pacific medicine center, san francisco, ca 94143 usa","univ calif san francisco, calif pacific med ctr, san francisco, ca 94143 usa","university calif san francisco, calif pacific medicine center, san francisco, ca 94143 usa"
"chinese academy sciences, institute geog sciences and nat resources research, beijing 100101, peoples r china","chinese acad sci, inst geog sci & nat resources res, beijing 100101, peoples r china","chinese academy sciences, institute geog sciences and nat resources research, beijing 100101, peoples r china"
"mt sinai hospital, new york, ny 10029 usa","mt sinai hosp, new york, ny 10029 usa","mt sinai hospital, new york, ny 10029 usa"
"university autonoma barcelona, department neurosci, hospital germans trias and pujol, badalona, spain","univ autonoma barcelona, dept neurosci, hosp germans trias & pujol, badalona, spain","university autonoma barcelona, department neurosci, hospital germans trias and pujol, badalona, spain"
"capital health hospital, center neurosci, trenton, nj usa","capital hlth hosp, ctr neurosci, trenton, nj usa","capital health hospital, center neurosci, trenton, nj usa"
"university hospital toulouse, neuroimaging center, toulouse, france","univ hosp toulouse, neuroimaging ctr, toulouse, france","university hospital toulouse, neuroimaging center, toulouse, france"
"university calif los angeles, david geffen sch medicine, neurovasc imaging research core, department neurol, los angeles, ca 90095 usa","univ calif los angeles, david geffen sch med, neurovasc imaging res core, dept neurol, los angeles, ca 90095 usa","university calif los angeles, david geffen sch medicine, neurovasc imaging research core, department neurol, los angeles, ca 90095 usa"
"city university of hong kong(city university of hong kong),hong kong,china","city university of hong kong(city university of hong kong),hong kong,china","city university of hong kong(city university of hong kong),hong kong,china"
"institute for particle physics, eth zurich, zurich, switzerland.","institute for particle physics, eth zurich, zurich, switzerland.","institute for particle physics, eth zurich, zurich, switzerland."
"technion israel institute technology, department physics, il-32000 haifa, israel","technion israel inst technol, dept phys, il-32000 haifa, israel","technion israel institute technology, department physics, il-32000 haifa, israel"
"mayo clinic and mayo fdn, rochester, mn 55905 usa","mayo clin & mayo fdn, rochester, mn 55905 usa","mayo clinic and mayo fdn, rochester, mn 55905 usa"
"national center atmospher research, pob 3000, boulder, co 80307 usa","natl ctr atmospher res, pob 3000, boulder, co 80307 usa","national center atmospher research, pob 3000, boulder, co 80307 usa"
"chinese academy sciences, dalian institute chemical physics, dalian 116023, peoples r china","chinese acad sci, dalian inst chem phys, dalian 116023, peoples r china","chinese academy sciences, dalian institute chemical physics, dalian 116023, peoples r china"
"university calif san francisco, department medicine, san francisco, ca usa","univ calif san francisco, dept med, san francisco, ca usa","university calif san francisco, department medicine, san francisco, ca usa"
"university of wisconsin — madison,madison,u.s.a.","university of wisconsin — madison,madison,u.s.a.","university of wisconsin — madison,madison,u.s.a."
"lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china","lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china","lanzhou jiaotong university(lanzhou jiaotong university ^),lanzhou,china"
"murdoch childrens research institute, melbourne, vic, australia","murdoch childrens res inst, melbourne, vic, australia","murdoch childrens research institute, melbourne, vic, australia"
university of wurzburg,university of wurzburg,university of wurzburg
"university calif berkeley, department plant and microbial biol, berkeley, ca 94720 usa","univ calif berkeley, dept plant & microbial biol, berkeley, ca 94720 usa","university calif berkeley, department plant and microbial biol, berkeley, ca 94720 usa"
"hospital italiano buenos aires, buenos aires, df, argentina","hosp italiano buenos aires, buenos aires, df, argentina","hospital italiano buenos aires, buenos aires, df, argentina"
"montefiore medicine center, 111 e 210th st, bronx, ny 10467 usa","montefiore med ctr, 111 e 210th st, bronx, ny 10467 usa","montefiore medicine center, 111 e 210th st, bronx, ny 10467 usa"
"af ioffe engineering physics inst,leningrad,ussr","af ioffe engn phys inst,leningrad,ussr","af ioffe engineering physics inst,leningrad,ussr"
"no illinois university, de kalb, il 60115 usa","no illinois univ, de kalb, il 60115 usa","no illinois university, de kalb, il 60115 usa"
"national taiwan university, department chemical, taipei 106, taiwan","natl taiwan univ, dept chem, taipei 106, taiwan","national taiwan university, department chemical, taipei 106, taiwan"
"instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain.","instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain.","instituto de física corpuscular (ific) and departamento de física atómica, molecular y nuclear and departamento de ingeniería electrónica and instituto de microelectrónica de barcelona (imb-cnm), university of valencia and csic, valencia, spain."
"max planck institute solid state research, d-70569 stuttgart, germany","max planck inst solid state res, d-70569 stuttgart, germany","max planck institute solid state research, d-70569 stuttgart, germany"
"chinese academy sciences, national astron observ, beijing 100012, peoples r china","chinese acad sci, natl astron observ, beijing 100012, peoples r china","chinese academy sciences, national astron observ, beijing 100012, peoples r china"
"mem sloan kettering canc ctr,new york,ny 10021","mem sloan kettering canc ctr,new york,ny 10021","mem sloan kettering canc ctr,new york,ny 10021"
"anal group inc, boston, ma usa","anal grp inc, boston, ma usa","anal group inc, boston, ma usa"
"north china elect power university, state key laboratory alternate elect power syst renewabl, beijing 102206, peoples r china","north china elect power univ, state key lab alternate elect power syst renewabl, beijing 102206, peoples r china","north china elect power university, state key laboratory alternate elect power syst renewabl, beijing 102206, peoples r china"
"university wisconsin, department chemical, 1101 university ave, madison, wi 53706 usa","univ wisconsin, dept chem, 1101 univ ave, madison, wi 53706 usa","university wisconsin, department chemical, 1101 university ave, madison, wi 53706 usa"
"zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china","zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china","zhejiang sci-tech university(zhejiang sci-tech university,zhejiang sci.-tech. university),hangzhou,china"
"university s florida, department chemical, tampa, fl 33620 usa","univ s florida, dept chem, tampa, fl 33620 usa","university s florida, department chemical, tampa, fl 33620 usa"
национальный исследовательский университет высшая школа экономики,национальный исследовательский университет высшая школа экономики,национальный исследовательский университет высшая школа экономики
"qimr berghofer medicine research institute, brisbane, qld, australia","qimr berghofer med res inst, brisbane, qld, australia","qimr berghofer medicine research institute, brisbane, qld, australia"
"academy sciences ussr,inst chemical phys,moscow v-71,ussr","acad sci ussr,inst chem phys,moscow v-71,ussr","academy sciences ussr,inst chemical phys,moscow v-71,ussr"
"northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china","northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china","northwest institute of nuclear technology(northwest institute of nuclear technology),xi'an,china"
"rhein westfal th aachen, physics institute a 3, aachen, germany","rhein westfal th aachen, phys inst a 3, aachen, germany","rhein westfal th aachen, physics institute a 3, aachen, germany"
"chinese academy sciences, shanghai institute ceram, shanghai 200050, peoples r china","chinese acad sci, shanghai inst ceram, shanghai 200050, peoples r china","chinese academy sciences, shanghai institute ceram, shanghai 200050, peoples r china"
"university rhode isl, kingston, ri 02881 usa","univ rhode isl, kingston, ri 02881 usa","university rhode isl, kingston, ri 02881 usa"
"huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, hubei, peoples r china","huazhong univ sci & technol, wuhan natl lab optoelect, wuhan 430074, hubei, peoples r china","huazhong university sciences and technology, wuhan national laboratory optoelect, wuhan 430074, hubei, peoples r china"
"medical center of fudan university(),shanghai,china","medical center of fudan university(),shanghai,china","medical center of fudan university(),shanghai,china"
"beijing institute technology, sch informat and elect, beijing 100081, peoples r china","beijing inst technol, sch informat & elect, beijing 100081, peoples r china","beijing institute technology, sch informat and elect, beijing 100081, peoples r china"
"harvard medicine sch, brigham and womens hospital, boston, ma 02115 usa","harvard med sch, brigham & womens hosp, boston, ma 02115 usa","harvard medicine sch, brigham and womens hospital, boston, ma 02115 usa"
"university fed parana, curitiba, parana, brazil","univ fed parana, curitiba, parana, brazil","university fed parana, curitiba, parana, brazil"
"hospital university penn, philadelphia, pa 19104 usa","hosp univ penn, philadelphia, pa 19104 usa","hospital university penn, philadelphia, pa 19104 usa"
"eindhoven university technology, nl-5600 mb eindhoven, netherlands","eindhoven univ technol, nl-5600 mb eindhoven, netherlands","eindhoven university technology, nl-5600 mb eindhoven, netherlands"
"national physics laboratory, teddington tw11 0lw, middx, england","natl phys lab, teddington tw11 0lw, middx, england","national physics laboratory, teddington tw11 0lw, middx, england"
"university sciences and technology china, national synchrotron radiat laboratory, hefei 230029, anhui, peoples r china","univ sci & technol china, natl synchrotron radiat lab, hefei 230029, anhui, peoples r china","university sciences and technology china, national synchrotron radiat laboratory, hefei 230029, anhui, peoples r china"
department of physics,department of physics,department of physics
mayo clinic rochester mn,mayo clinic rochester mn,mayo clinic rochester mn
"graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china","graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china","graduate university of chinese academy of sciences(^ graduate university of chinese academy of sciences),beijing,china"
"rutgers state university, department physics and astron, piscataway, nj 08854 usa","rutgers state univ, dept phys & astron, piscataway, nj 08854 usa","rutgers state university, department physics and astron, piscataway, nj 08854 usa"
"nanyang technology university, sch physics and math sciences, div physics and apply physics, singapore 637371, singapore","nanyang technol univ, sch phys & math sci, div phys & appl phys, singapore 637371, singapore","nanyang technology university, sch physics and math sciences, div physics and apply physics, singapore 637371, singapore"
"n carolina state university, department chemical, raleigh, nc 27695 usa","n carolina state univ, dept chem, raleigh, nc 27695 usa","n carolina state university, department chemical, raleigh, nc 27695 usa"
"national taiwan university, department physics, taipei 10617, taiwan","natl taiwan univ, dept phys, taipei 10617, taiwan","national taiwan university, department physics, taipei 10617, taiwan"
"institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china","institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china","institute of process engineering chinese academy of sciences(chinese academy of sciences),beijing,china"
"department of physics, university of oslo, oslo, norway.","department of physics, university of oslo, oslo, norway.","department of physics, university of oslo, oslo, norway."
"mayo clinic and mayo fdn,rochester,mn 55901","mayo clin & mayo fdn,rochester,mn 55901","mayo clinic and mayo fdn,rochester,mn 55901"
"baylor college medicine, department mol and cellular biol, houston, tx 77030 usa","baylor coll med, dept mol & cellular biol, houston, tx 77030 usa","baylor college medicine, department mol and cellular biol, houston, tx 77030 usa"
"nanyang technology university, sch elect and elect engineering, singapore, singapore","nanyang technol univ, sch elect & elect engn, singapore, singapore","nanyang technology university, sch elect and elect engineering, singapore, singapore"
"national taiwan university, department chemical, taipei 10617, taiwan","natl taiwan univ, dept chem, taipei 10617, taiwan","national taiwan university, department chemical, taipei 10617, taiwan"
"university n carolina, lineberger comprehens canc center, chapel hill, nc 27599 usa","univ n carolina, lineberger comprehens canc ctr, chapel hill, nc 27599 usa","university n carolina, lineberger comprehens canc center, chapel hill, nc 27599 usa"
"school of materials science and engineering, harbin institute of technology, harbin 150001, china","school of materials science and engineering, harbin institute of technology, harbin 150001, china","school of materials science and engineering, harbin institute of technology, harbin 150001, china"
"national center nanosci and technology, beijing 100190, peoples r china","natl ctr nanosci & technol, beijing 100190, peoples r china","national center nanosci and technology, beijing 100190, peoples r china"
"geisinger medicine center, danville, pa 17822 usa","geisinger med ctr, danville, pa 17822 usa","geisinger medicine center, danville, pa 17822 usa"
"hospital general university gregorio maranon, madrid, spain","hosp gen univ gregorio maranon, madrid, spain","hospital general university gregorio maranon, madrid, spain"
"university so calif, department chemical, los angeles, ca 90089 usa","univ so calif, dept chem, los angeles, ca 90089 usa","university so calif, department chemical, los angeles, ca 90089 usa"
"institute clinic evaluat sciences, toronto, on, canada","inst clin evaluat sci, toronto, on, canada","institute clinic evaluat sciences, toronto, on, canada"
"hebei university of science and technology(hebei university of science and technology),shijiazhuang,china","hebei university of science and technology(hebei university of science and technology),shijiazhuang,china","hebei university of science and technology(hebei university of science and technology),shijiazhuang,china"
"penn state university, department physics, university pk, pa 16802 usa","penn state univ, dept phys, university pk, pa 16802 usa","penn state university, department physics, university pk, pa 16802 usa"
"xinjiang university(xinjiang university),urumqi,china","xinjiang university(xinjiang university),urumqi,china","xinjiang university(xinjiang university),urumqi,china"
"university alabama birmingham, department medicine, birmingham, al 35294 usa","univ alabama birmingham, dept med, birmingham, al 35294 usa","university alabama birmingham, department medicine, birmingham, al 35294 usa"
university of kwazulu natal,university of kwazulu natal,university of kwazulu natal
"tata institute fundamental research, bombay 400005, maharashtra, india","tata inst fundamental res, bombay 400005, maharashtra, india","tata institute fundamental research, bombay 400005, maharashtra, india"
